============ Start of Season ============
1972-03-12 | w: CIN | L: GOS
1972-03-14 | w: BOS | L: GOS
1972-03-14 | w: NYK | L: ATL
1972-03-14 | w: LAL | L: DET
1972-03-14 | w: SEA | L: CHI
1972-03-14 | w: MIL | L: POR
1972-03-14 | w: CLE | L: BLT
1972-03-14 | w: BUF | L: PHL
1972-03-15 | w: ATL | L: SEA
1972-03-15 | w: PHX | L: MIL
1972-03-15 | w: BOS | L: PHL
1972-03-15 | w: LAL | L: CIN
1972-03-16 | w: GOS | L: POR
1972-03-16 | w: NYK | L: HOU
1972-03-16 | w: BLT | L: CLE
1972-03-17 | w: LAL | L: MIL
1972-03-17 | w: DET | L: ATL
1972-03-17 | w: BLT | L: SEA
1972-03-17 | w: CHI | L: BUF
1972-03-17 | w: PHX | L: NYK
1972-03-17 | w: POR | L: GOS
1972-03-17 | w: BOS | L: PHL
1972-03-18 | w: ATL | L: CIN
1972-03-18 | w: GOS | L: PHX
1972-03-18 | w: POR | L: NYK
1972-03-18 | w: CHI | L: CLE
1972-03-18 | w: BUF | L: DET
1972-03-18 | w: MIL | L: HOU
1972-03-19 | w: LAL | L: GOS
1972-03-19 | w: BLT | L: BOS
1972-03-19 | w: CHI | L: DET
1972-03-19 | w: ATL | L: CLE
1972-03-19 | w: PHL | L: SEA
1972-03-19 | w: CIN | L: BUF
1972-03-21 | w: DET | L: CIN
1972-03-21 | w: PHX | L: POR
1972-03-21 | w: LAL | L: CHI
1972-03-21 | w: MIL | L: HOU
1972-03-21 | w: ATL | L: PHL
1972-03-21 | w: BUF | L: BLT
1972-03-22 | w: ATL | L: HOU
1972-03-22 | w: BOS | L: PHL
1972-03-22 | w: NYK | L: BUF
1972-03-22 | w: GOS | L: BLT
1972-03-22 | w: CLE | L: LAL
1972-03-22 | w: CIN | L: DET
1972-03-24 | w: LAL | L: PHX
1972-03-24 | w: ATL | L: GOS
1972-03-24 | w: DET | L: BUF
1972-03-24 | w: MIL | L: NYK
1972-03-24 | w: CHI | L: PHL
1972-03-24 | w: HOU | L: CLE
1972-03-24 | w: CIN | L: BLT
1972-03-25 | w: NYK | L: CLE
1972-03-25 | w: HOU | L: BLT
1972-03-25 | w: CHI | L: DET
1972-03-25 | w: PHX | L: SEA
1972-03-25 | w: MIL | L: CIN
1972-03-25 | w: BOS | L: BUF
1972-03-26 | w: LAL | L: SEA
1972-03-26 | w: ATL | L: NYK
1972-03-26 | w: BOS | L: DET
1972-03-26 | w: BLT | L: BUF
1972-03-26 | w: HOU | L: POR
1972-03-26 | w: CIN | L: CLE
1972-03-26 | w: GOS | L: PHL
============ End of Regular Season ============
1972-03-28 | w: LAL | L: CHI
1972-03-28 | w: GOS | L: MIL
1972-03-29 | w: BOS | L: ATL
1972-03-30 | w: LAL | L: CHI
1972-03-30 | w: MIL | L: GOS
1972-03-31 | w: ATL | L: BOS
